,vid,name,game,date created,title,duration of broadcast,views
39,270269964,overwatchleague,Overwatch,2018-06-07T00:58:49Z,Full Match | Seoul Dynasty vs. Boston Uprising | Stage 4 Week 4 Day 1,1:54:54,22923
40,270224510,overwatchleague,Overwatch,2018-06-06T22:45:17Z,Inaugural Season | Stage 4 Week 4 Day 1,7:01:17,91885
41,269526922,overwatchleague,Overwatch,2018-06-05T02:55:12Z,Watchpoint: Recap Edition | Stage 4 Week 3,0:46:22,12615
42,268748697,overwatchleague,Overwatch,2018-06-03T02:22:32Z,Full Match | Florida Mayhem vs. Houston Outlaws | Stage 4 Week 3 Day 4,1:58:49,5892
43,268708413,overwatchleague,Overwatch,2018-06-03T00:16:51Z,Full Match | New York Excelsior vs. Los Angeles Valiant | Stage 4 Week 3 Day 4,2:11:13,57174
44,268666410,overwatchleague,Overwatch,2018-06-02T22:04:09Z,Full Match | London Spitfire vs. Dallas Fuel | Stage 4 Week 3 Day 4,1:48:48,15002
45,268614851,overwatchleague,Overwatch,2018-06-02T19:45:17Z,Inaugural Season | Stage 4 Week 3 Day 4,6:46:05,122203
46,268405898,overwatchleague,Overwatch,2018-06-02T05:55:59Z,Inaugural Season | Stage 4 Week 3 Day 3 | Rerun 2,6:56:00,3229
47,268402888,overwatchleague,Overwatch,2018-06-02T05:41:37Z,Full Match | Boston Uprising vs. San Francisco Shock | Stage 4 Week 3 Day 3,2:02:13,4070
48,268371521,overwatchleague,Overwatch,2018-06-02T03:41:37Z,Full Match | Florida Mayhem vs. Seoul Dynasty | Stage 4 Week 3 Day 3,2:14:38,34909
49,268325465,overwatchleague,Overwatch,2018-06-02T01:22:28Z,Full Match | Houston Outlaws vs. Shanghai Dragons | Stage 4 Week 3 Day 3,2:10:37,3759
50,268272759,overwatchleague,Overwatch,2018-06-01T22:45:15Z,Inaugural Season | Stage 4 Week 3 Day 3,7:09:00,163718
51,268016162,overwatchleague,Overwatch,2018-06-01T05:51:08Z,Inaugural Season | Stage 4 Week 3 Day 2 | Rerun 2,6:36:53,68155
52,268012313,overwatchleague,Overwatch,2018-06-01T05:29:41Z,Full Match | Philadelphia Fusion vs. Los Angeles Gladiators | Stage 4 Week 3 Day 2,1:57:49,5327
53,267984394,overwatchleague,Overwatch,2018-06-01T03:27:47Z,Full Match | San Francisco Shock vs. Dallas Fuel | Stage 4 Week 3 Day 2,1:57:31,29596
54,267948878,overwatchleague,Overwatch,2018-06-01T01:30:38Z,Full Match | London Spitfire vs. Boston Uprising | Stage 4 Week 3 Day 2,2:16:02,2956
55,267892482,overwatchleague,Overwatch,2018-05-31T22:45:17Z,Inaugural Season | Stage 4 Week 3 Day 2,7:03:40,96281
56,267631379,overwatchleague,Overwatch,2018-05-31T05:47:22Z,Inaugural Season | Stage 4 Week 3 Day 1 | Rerun 2,6:44:06,68351
57,267629888,overwatchleague,Overwatch,2018-05-31T05:39:04Z,Full Match | Los Angeles Valiant vs. Los Angeles Gladiators | Stage 4 Week 3 Day 1,2:07:37,8463
58,267595626,overwatchleague,Overwatch,2018-05-31T03:15:17Z,Full Match | Seoul Dynasty vs. Shanghai Dragons | Stage 4 Week 3 Day 1,1:52:42,4659
59,267557606,overwatchleague,Overwatch,2018-05-31T01:20:03Z,Full Match | New York Excelsior vs. Philadelphia Fusion | Stage 4 Week 3 Day 1,2:01:55,6008
60,267502944,overwatchleague,Overwatch,2018-05-30T22:45:17Z,Inaugural Season | Stage 4 Week 3 Day 1,6:59:59,99849
61,266817775,overwatchleague,Overwatch,2018-05-29T02:55:00Z,Watchpoint: Recap Edition | Stage 4 Week 2,0:45:09,17815
62,265992117,overwatchleague,Overwatch,2018-05-27T02:01:35Z,Inaugural Season | Stage 4 Week 2 Day 4 | Rerun 2,6:01:27,63075
63,265988713,overwatchleague,Overwatch,2018-05-27T01:51:29Z,Full Match | Dallas Fuel vs. Philadelphia Fusion | Stage 4 Week 2 Day 4,1:31:29,47705
64,265953290,overwatchleague,Overwatch,2018-05-27T00:02:00Z,Full Match | Shanghai Dragons vs. New York Excelsior | Stage 4 Week 2 Day 4,1:30:11,3971
65,265919850,overwatchleague,Overwatch,2018-05-26T22:15:17Z,Full Match | Seoul Dynasty vs. London Spitfire | Stage 4 Week 2 Day 4,2:09:25,17962
66,265866808,overwatchleague,Overwatch,2018-05-26T19:45:19Z,Inaugural Season | Stage 4 Week 2 Day 4,6:14:10,178167
67,265646978,overwatchleague,Overwatch,2018-05-26T05:01:54Z,Full Match | San Francisco Shock vs. Houston Outlaws | Stage 4 Week 2 Day 3,1:44:06,6834
68,265615846,overwatchleague,Overwatch,2018-05-26T03:11:12Z,Full Match | New York Excelsior vs. Seoul Dynasty | Stage 4 Week 2 Day 3,1:50:00,6583
69,265576666,overwatchleague,Overwatch,2018-05-26T01:16:18Z,Full Match | Los Angeles Valiant vs. Boston Uprising | Stage 4 Week 2 Day 3,2:09:55,37484
70,265525420,overwatchleague,Overwatch,2018-05-25T22:45:17Z,Inaugural Season | Stage 4 Week 2 Day 3,6:22:18,105832
71,265263406,overwatchleague,Overwatch,2018-05-25T05:26:42Z,Inaugural Season | Stage 4 Week 2 Day 2 | Rerun 2,6:17:22,59058
72,265262720,overwatchleague,Overwatch,2018-05-25T05:22:56Z,Full Match | Philadelphia Fusion vs. Shanghai Dragons | Stage 4 Week 2 Day 2,1:50:48,3852
73,265232815,overwatchleague,Overwatch,2018-05-25T03:21:05Z,Full Match | Los Angeles Gladiators vs. Florida Mayhem | Stage 4 Week 2 Day 2,1:32:17,3219
74,265201759,overwatchleague,Overwatch,2018-05-25T01:39:44Z,Full Match | London Spitfire vs. San Francisco Shock | Stage 4 Week 2 Day 2,2:17:26,4478
75,265141999,overwatchleague,Overwatch,2018-05-24T22:45:17Z,Inaugural Season | Stage 4 Week 2 Day 2,6:39:17,77076
76,264886229,overwatchleague,Overwatch,2018-05-24T05:24:14Z,Inaugural Season | Stage 4 Week 3 Day 1 | Rerun 2,6:10:34,53328
77,264882665,overwatchleague,Overwatch,2018-05-24T05:06:04Z,Full Match | Houston Outlaws vs. Los Angeles Gladiators | Stage 4 Week 2 Day 1,1:41:48,8042
78,264859466,overwatchleague,Overwatch,2018-05-24T03:27:07Z,Full Match | Florida Mayhem vs. Los Angeles Valiant | Stage 4 Week 2 Day 1,2:01:31,2909
79,264816467,overwatchleague,Overwatch,2018-05-24T01:12:35Z,Full Match | Boston Uprising vs. Dallas Fuel | Stage 4 Week 2 Day 1,1:47:18,17347
80,264766538,overwatchleague,Overwatch,2018-05-23T22:45:45Z,Inaugural Season | Stage 4 Week 2 Day 1,6:34:28,84356
81,263333707,overwatchleague,Overwatch,2018-05-20T01:58:08Z,Full Match | London Spitfire vs. New York Excelsior | Stage 4 Week 1 Day 4,1:36:11,11857
82,263329852,overwatchleague,Overwatch,2018-05-20T01:45:30Z,Highlight: Inaugural Season | Stage 4 Week 1 Day 4 | Rerun 2,5:45:26,53194
83,263293302,overwatchleague,Overwatch,2018-05-19T23:47:28Z,Full Match | Shanghai Dragons vs. Los Angeles Valiant | Stage 4 Week 1 Day 4,1:47:36,3729
84,263261698,overwatchleague,Overwatch,2018-05-19T22:05:03Z,Full Match | Philadelphia Fusion vs. Florida Mayhem | Stage 4 Week 1 Day 4,1:50:30,4461
85,263212022,overwatchleague,Overwatch,2018-05-19T19:45:18Z,Inaugural Season | Stage 4 Week 1 Day 4,5:57:23,142589
86,262999961,overwatchleague,Overwatch,2018-05-19T05:10:50Z,Full Match | San Francisco Shock vs. Seoul Dynasty | Stage 4 Week 1 Day 3 ,1:49:24,27101
87,262964876,overwatchleague,Overwatch,2018-05-19T03:00:47Z,Full Match | Boston Uprising vs. Houston Outlaws | Stage 4 Week 1 Day 3 ,1:45:18,28301
88,262931047,overwatchleague,Overwatch,2018-05-19T01:17:48Z,Full Match | Dallas Fuel vs. Los Angeles Gladiators | Stage 4 Week 1 Day 3 ,2:00:19,6176
89,262879784,overwatchleague,Overwatch,2018-05-18T22:45:15Z,Inaugural Season | Stage 4 Week 1 Day 3,6:23:17,95185
90,262628670,overwatchleague,Overwatch,2018-05-18T05:13:00Z,Full Match | Houston Outlaws vs. London Spitfire | Stage 4 Week 1 Day 2,1:54:18,24942
91,262601790,overwatchleague,Overwatch,2018-05-18T03:15:20Z,Full Match | New York Excelsior vs. Florida Mayhem | Stage 4 Week 1 Day 2,2:03:49,5075
92,262558468,overwatchleague,Overwatch,2018-05-18T00:58:59Z,Full Match | Boston Uprising vs. Philadelphia Fusion | Stage 4 Week 1 Day 2,1:48:24,32472
93,262513660,overwatchleague,Overwatch,2018-05-17T22:45:17Z,Inaugural Season | Stage 4 Week 1 Day 2,6:22:19,82252
94,262275516,overwatchleague,Overwatch,2018-05-17T05:15:18Z,Full Match | Dallas Fuel vs. Shanghai Dragons | Stage 4 Week 1 Day 1,1:55:00,13779
95,262249518,overwatchleague,Overwatch,2018-05-17T03:17:50Z,Full Match | Seoul Dynasty vs. Los Angeles Valiant | Stage 4 Week 1 Day 1,2:00:07,31805
96,262206441,overwatchleague,Overwatch,2018-05-17T01:00:52Z,Full Match | Los Angeles Gladiators vs. San Francisco Shock | Stage 4 Week 1 Day 1,1:50:06,5092
97,262160119,overwatchleague,Overwatch,2018-05-16T22:45:20Z,Inaugural Season | Stage 4 Week 1 Day 1,6:10:28,143378
98,260043998,overwatchleague,Overwatch,2018-05-11T02:58:49Z,Full Match | London Spitfire vs. Houston Outlaws | Stage 3 Week 1 Day 2,2:03:25,2500
99,260038176,overwatchleague,Overwatch,2018-05-11T02:37:54Z,Full Match | Seoul Dynasty vs. San Francisco Shock | Stage 3 Week 1 Day 3,2:05:25,1467
100,260030204,overwatchleague,Overwatch,2018-05-11T02:11:56Z,Full Match | New York Excelsior vs. London Spitfire | Stage 3 Week 1 Day 4,1:50:54,1561
101,258957113,overwatchleague,Overwatch,2018-05-08T02:54:57Z,Watchpoint: Recap Edition | Stage 3 Week 5,0:45:24,13358
102,258481745,overwatchleague,Overwatch,2018-05-06T19:45:16Z,Inaugural Season | Stage 3 | Semi-finals and Finals,5:55:25,45288
103,258095092,overwatchleague,Overwatch,2018-05-05T19:45:17Z,Inaugural Season | Stage 3 Week 5 Day 4,6:37:11,197409
104,257757406,overwatchleague,Overwatch,2018-05-04T22:25:16Z,Inaugural Season | Stage 3 Week 5 Day 3,7:21:49,104060
105,257401476,overwatchleague,Overwatch,2018-05-03T22:45:17Z,Inaugural Season | Stage 3 Week 5 Day 2,6:19:20,104160
106,257051312,overwatchleague,Overwatch,2018-05-02T22:45:17Z,Inaugural Season | Stage 3 Week 5 Day 1,6:52:00,104503
107,255875893,overwatchleague,Overwatch,2018-04-29T18:29:20Z,Full Match | Shanghai Dragons vs. Philadelphia Fusion | Stage 3 Week 4 Day 4,2:07:49,52764
